date;calls;weekday;month_day;month_year;reservations_2months_advance;total_reservations;summer_break;christmas_break;special_day
2013-03-20;4245;3;03-20;2013-03;;;0.0;0.0;0.0
2013-03-21;3817;4;03-21;2013-03;;;0.0;0.0;0.0
2013-03-22;3876;5;03-22;2013-03;;;0.0;0.0;0.0
2013-03-23;3246;6;03-23;2013-03;;;0.0;0.0;0.0
2013-03-24;2974;7;03-24;2013-03;;;0.0;0.0;0.0
2013-03-25;6154;1;03-25;2013-03;;;0.0;0.0;0.0
2013-03-26;5596;2;03-26;2013-03;;;0.0;0.0;0.0
2013-03-27;5551;3;03-27;2013-03;;;0.0;0.0;0.0
2013-03-28;4770;4;03-28;2013-03;;;0.0;0.0;0.0
2013-03-29;5144;5;03-29;2013-03;;;0.0;0.0;1.0
2013-03-30;3833;6;03-30;2013-03;;;0.0;0.0;0.0
2013-03-31;2176;7;03-31;2013-03;;;0.0;0.0;0.0
2013-04-01;2454;1;04-01;2013-04;;;0.0;0.0;0.0
2013-04-02;4888;2;04-02;2013-04;;;0.0;0.0;0.0
2013-04-03;4758;3;04-03;2013-04;;;0.0;0.0;1.0
2013-04-04;5271;4;04-04;2013-04;;;0.0;0.0;0.0
2013-04-05;4473;5;04-05;2013-04;;;0.0;0.0;0.0
2013-04-06;2979;6;04-06;2013-04;;;0.0;0.0;1.0
2013-04-07;2506;7;04-07;2013-04;;;0.0;0.0;0.0
2013-04-08;5338;1;04-08;2013-04;;;0.0;0.0;0.0
2013-04-09;5121;2;04-09;2013-04;;;0.0;0.0;0.0
2013-04-10;5538;3;04-10;2013-04;;;0.0;0.0;0.0
2013-04-11;5043;4;04-11;2013-04;;;0.0;0.0;0.0
2013-04-12;5421;5;04-12;2013-04;;;0.0;0.0;0.0
2013-04-13;3137;6;04-13;2013-04;;;0.0;0.0;0.0
2013-04-14;2572;7;04-14;2013-04;;;0.0;0.0;0.0
2013-04-15;5156;1;04-15;2013-04;;;0.0;0.0;0.0
2013-04-16;5285;2;04-16;2013-04;;;0.0;0.0;0.0
2013-04-17;5436;3;04-17;2013-04;;;0.0;0.0;0.0
2013-04-18;5387;4;04-18;2013-04;;;0.0;0.0;0.0
2013-04-19;5047;5;04-19;2013-04;;;0.0;0.0;0.0
2013-04-20;4171;6;04-20;2013-04;;;0.0;0.0;0.0
2013-04-21;3590;7;04-21;2013-04;;;0.0;0.0;0.0
2013-04-22;6837;1;04-22;2013-04;;;0.0;0.0;0.0
2013-04-23;6683;2;04-23;2013-04;;;0.0;0.0;1.0
2013-04-24;7230;3;04-24;2013-04;;;0.0;0.0;0.0
2013-04-25;4318;4;04-25;2013-04;;;0.0;0.0;0.0
2013-04-26;5626;5;04-26;2013-04;;;0.0;0.0;0.0
2013-04-27;4371;6;04-27;2013-04;;;0.0;0.0;0.0
2013-04-28;3175;7;04-28;2013-04;;;0.0;0.0;0.0
2013-04-29;6514;1;04-29;2013-04;;;0.0;0.0;0.0
2013-04-30;5920;2;04-30;2013-04;;;0.0;0.0;0.0
2013-05-01;3204;3;05-01;2013-05;;;0.0;0.0;0.0
2013-05-02;5188;4;05-02;2013-05;;;0.0;0.0;0.0
2013-05-03;4767;5;05-03;2013-05;;;0.0;0.0;0.0
2013-05-04;3231;6;05-04;2013-05;;;0.0;0.0;1.0
2013-05-05;2946;7;05-05;2013-05;;;0.0;0.0;0.0
2013-05-06;5774;1;05-06;2013-05;;;0.0;0.0;0.0
2013-05-07;5753;2;05-07;2013-05;;;0.0;0.0;0.0
2013-05-08;5229;3;05-08;2013-05;;;0.0;0.0;1.0
2013-05-09;5540;4;05-09;2013-05;;;0.0;0.0;0.0
2013-05-10;5796;5;05-10;2013-05;;;0.0;0.0;0.0
